,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2023-09-27,427.09,427.67,423.97,424.115,424.115,33778211,33778211,-2.97,-0.69657449,425.25,"September 27, 23",-0.0069657449
1,2023-09-26,429.09,429.82,425.02,425.88,425.85,85614566,84976190,-3.21,-0.74809,427.23,"September 26, 23",-0.0074809
2,2023-09-25,429.17,432.27,428.72,432.23,432.23,70822134,70874500,3.06,0.713,430.9,"September 25, 23",0.00713
3,2023-09-22,432.45,434.1,429.99,430.42,430.42,100829684,100757900,-2.03,-0.46942,431.74,"September 22, 23",-0.0046942
4,2023-09-21,435.7,435.97,431.23,431.39,431.39,102273826,103976100,-4.31,-0.98921,433.71,"September 21, 23",-0.0098921
5,2023-09-20,444.01,444.435,438.43,438.64,438.64,82472602,82562600,-5.37,-1.21,441.43,"September 20, 23",-0.0121
6,2023-09-19,442.68,443.29,439.94,442.71,442.71,66514648,66514600,0.03,0.0067769,441.96,"September 19, 23",6.7769e-05
7,2023-09-18,443.05,444.97,442.56,443.63,443.63,55752213,55752200,0.58,0.13091,443.65,"September 18, 23",0.0013091
8,2023-09-15,447.14,447.48,442.92,443.37,443.37,111798734,111761400,-3.77,-0.84314,444.9,"September 15, 23",-0.0084314
9,2023-09-14,449.07,451.08,447.715,450.36,448.78,83133514,83430800,1.29,0.28726,449.44,"September 14, 23",0.0028726
10,2023-09-13,446.22,447.71,445.0793,446.51,444.94,60123672,60199300,0.29,0.06499036,446.53,"September 13, 23",0.0006499036
11,2023-09-12,446.95,448.53,445.39,445.99,444.42,67565422,67565400,-0.96,-0.21479,446.76,"September 12, 23",-0.0021479
12,2023-09-11,448.24,448.77,446.4699,448.45,446.87,59977618,60180100,0.21,0.0468499,447.85,"September 11, 23",0.000468499
13,2023-09-08,444.9,447.11,444.53,445.52,443.95,61659700,61659700,0.62,0.13936,445.72,"September 08, 23",0.0013936
14,2023-09-07,443.11,445.55,442.75,444.85,443.29,70355400,70355400,1.74,0.39268,444.38,"September 07, 23",0.0039268
15,2023-09-06,448.4,448.51,443.81,446.22,444.65,70758500,70758500,-2.18,-0.48617,446.18,"September 06, 23",-0.0048617
16,2023-09-05,450.73,451.06,449.17,449.24,447.66,55166200,55166200,-1.49,-0.33057,449.82,"September 05, 23",-0.0033057
17,2023-09-01,453.17,453.67,449.68,451.19,449.6,58875700,58875700,-1.98,-0.43692,451.51,"September 01, 23",-0.0043692
18,2023-08-31,451.65,452.83,450.16,450.35,448.77,66084600,66084600,-1.3,-0.28783,451.11,"August 31, 23",-0.0028783
19,2023-08-30,449.51,451.67,448.78,451.01,449.42,69053900,69053900,1.5,0.3337,450.49,"August 30, 23",0.003337
20,2023-08-29,442.65,449.45,442.46,449.16,447.58,83081900,83081900,6.51,1.47,447.02,"August 29, 23",0.0147
21,2023-08-28,442.24,443.4,439.97,442.76,441.2,61595400,61595400,0.52,0.11758,442.04,"August 28, 23",0.0011758
22,2023-08-25,438.68,441.3,435.0,439.97,438.42,102325100,102325100,1.29,0.29406,438.76,"August 25, 23",0.0029406
23,2023-08-24,444.69,445.22,436.86,436.89,435.35,88517300,88517300,-7.8,-1.75,439.66,"August 24, 23",-0.0175
24,2023-08-23,439.25,443.67,439.1,443.03,441.47,68441000,68441000,3.78,0.86056,441.93,"August 23, 23",0.0086056
25,2023-08-22,441.18,441.18,437.57,438.15,436.61,65062900,65062900,-3.03,-0.68679,438.97,"August 22, 23",-0.0068679
26,2023-08-21,437.55,440.11,435.32,439.34,437.8,68719000,68719000,1.79,0.4091,438.26,"August 21, 23",0.004091
27,2023-08-18,433.37,437.57,433.01,436.5,434.97,98758400,98758400,3.13,0.72225,435.69,"August 18, 23",0.0072225
28,2023-08-17,441.16,441.43,435.75,436.29,434.76,95711300,95711300,-4.87,-1.1,437.82,"August 17, 23",-0.011
29,2023-08-16,442.46,444.18,439.53,439.64,438.09,80107200,80107200,-2.82,-0.63735,441.12,"August 16, 23",-0.0063735
30,2023-08-15,446.27,446.64,442.3,442.89,441.33,75707500,75707500,-3.38,-0.75739,443.94,"August 15, 23",-0.0075739
31,2023-08-14,444.7,448.11,444.38,448.11,446.53,47867400,47867400,3.41,0.76681,446.87,"August 14, 23",0.0076681
32,2023-08-11,443.97,446.7,443.35,445.65,444.08,68664600,68664600,1.68,0.3784,445.23,"August 11, 23",0.003784
33,2023-08-10,448.19,451.7,444.7,445.91,444.34,93005500,93005500,-2.28,-0.50871,447.44,"August 10, 23",-0.0050871
34,2023-08-09,449.03,449.2,444.96,445.75,444.18,78789600,78789600,-3.28,-0.73046,446.64,"August 09, 23",-0.0073046
35,2023-08-08,448.08,450.7,445.27,448.75,447.17,71361300,71361300,0.67,0.14953,448.24,"August 08, 23",0.0014953
36,2023-08-07,448.71,450.87,447.99,450.71,449.13,58357500,58357500,2.0,0.44572,449.86,"August 07, 23",0.0044572
37,2023-08-04,450.72,452.9,446.27,446.81,445.24,100052300,100052300,-3.91,-0.8675,448.66,"August 04, 23",-0.008675
38,2023-08-03,448.04,450.79,447.37,448.84,447.26,64276100,64276100,0.8,0.17856,449.0,"August 03, 23",0.0017856
39,2023-08-02,453.25,453.52,449.35,450.13,448.55,93933400,93933400,-3.12,-0.68836,451.0,"August 02, 23",-0.0068836
40,2023-08-01,456.27,457.25,455.49,456.48,454.88,55291500,55291500,0.21,0.04602538,456.41,"August 01, 23",0.0004602538
41,2023-07-31,457.41,458.16,456.05,457.79,456.18,62040400,62040400,0.38,0.08307645,457.33,"July 31, 23",0.0008307645
42,2023-07-28,455.88,457.78,452.49,456.92,455.31,80011800,80011800,1.04,0.22813,455.73,"July 28, 23",0.0022813
43,2023-07-27,459.02,459.44,451.55,452.49,450.9,92194400,92194400,-6.53,-1.42,454.49,"July 27, 23",-0.0142
44,2023-07-26,454.47,456.99,453.38,455.51,453.91,71052900,71052900,1.04,0.22884,455.29,"July 26, 23",0.0022884
45,2023-07-25,453.92,456.74,453.87,455.44,453.84,55191200,55191200,1.52,0.33486,455.35,"July 25, 23",0.0033486
46,2023-07-24,453.37,455.04,452.3,454.2,452.6,54023400,54023400,0.83,0.18307,453.85,"July 24, 23",0.0018307
47,2023-07-21,453.96,454.17,452.17,452.18,450.59,71245400,71245400,-1.78,-0.39211,452.84,"July 21, 23",-0.0039211
48,2023-07-20,454.17,455.1,451.44,452.18,450.59,70591600,70591600,-1.99,-0.43816,452.91,"July 20, 23",-0.0043816
49,2023-07-19,455.01,456.43,454.11,455.2,453.6,65891700,65891700,0.19,0.04175732,455.25,"July 19, 23",0.0004175732
50,2023-07-18,450.5,454.86,450.05,454.19,452.59,80744400,80744400,3.69,0.81909,453.03,"July 18, 23",0.0081909
51,2023-07-17,449.13,451.93,449.08,450.84,449.26,52680200,52680200,1.71,0.38074,450.62,"July 17, 23",0.0038074
52,2023-07-14,450.48,451.36,448.49,449.28,447.7,69761800,69761800,-1.2,-0.26638,449.71,"July 14, 23",-0.0026638
53,2023-07-13,447.9,450.38,447.45,449.56,447.98,72425200,72425200,1.66,0.37062,449.13,"July 13, 23",0.0037062
54,2023-07-12,446.39,447.48,444.91,446.02,444.45,91924500,91924500,-0.37,-0.08288716,446.14,"July 12, 23",-0.0008288716
55,2023-07-11,440.45,442.97,439.44,442.46,440.9,64463800,64463800,2.01,0.45635,441.62,"July 11, 23",0.0045635
56,2023-07-10,438.18,439.84,437.59,439.66,438.11,62443500,62443500,1.48,0.33776,439.03,"July 10, 23",0.0033776
57,2023-07-07,438.63,442.64,438.3,438.55,437.01,86076100,86076100,-0.08,-0.01823861,439.83,"July 07, 23",-0.0001823861
58,2023-07-06,439.42,440.1,437.06,439.66,438.11,80658300,80658300,0.24,0.05461745,438.94,"July 06, 23",0.0005461745
59,2023-07-05,441.91,443.89,441.9,443.13,441.57,58418400,58418400,1.22,0.27607,442.97,"July 05, 23",0.0027607
60,2023-07-03,442.92,444.08,442.63,443.79,442.23,32793400,32793400,0.87,0.19642,443.5,"July 03, 23",0.0019642
61,2023-06-30,441.44,444.3,441.11,443.28,441.72,104921500,104921500,1.84,0.41682,442.9,"June 30, 23",0.0041682
62,2023-06-29,435.96,438.28,435.54,438.11,436.57,67882300,67882300,2.15,0.49316,437.31,"June 29, 23",0.0049316
63,2023-06-28,435.05,437.44,434.41,436.39,434.86,75636000,75636000,1.34,0.30801,436.08,"June 28, 23",0.0030801
64,2023-06-27,432.35,436.81,431.88,436.17,434.64,72813700,72813700,3.82,0.88354,434.95,"June 27, 23",0.0088354
65,2023-06-26,432.62,434.61,431.19,431.44,429.92,72823600,72823600,-1.18,-0.27276,432.41,"June 26, 23",-0.0027276
66,2023-06-23,432.93,435.06,432.47,433.21,431.69,92074500,92074500,0.28,0.06467558,433.58,"June 23, 23",0.0006467558
67,2023-06-22,433.95,436.62,433.6,436.51,434.98,70637200,70637200,2.56,0.58993,435.58,"June 22, 23",0.0058993
68,2023-06-21,436.16,436.99,434.33,434.94,433.41,76982300,76982300,-1.22,-0.27971,435.42,"June 21, 23",-0.0027971
69,2023-06-20,437.45,438.37,435.03,437.18,435.64,76160400,76160400,-0.27,-0.06172134,436.86,"June 20, 23",-0.0006172134
70,2023-06-16,443.02,443.61,438.97,439.46,437.92,114121300,114121300,-3.56,-0.80358,440.68,"June 16, 23",-0.0080358
71,2023-06-15,436.33,443.9,436.23,442.6,439.41,110303100,110303100,6.27,1.44,440.91,"June 15, 23",0.0144
72,2023-06-14,437.01,439.06,433.59,437.18,434.03,100612100,100612100,0.17,0.03890071,436.61,"June 14, 23",0.0003890071
73,2023-06-13,435.32,437.33,434.63,436.66,433.51,95899700,95899700,1.34,0.30782,436.21,"June 13, 23",0.0030782
74,2023-06-12,430.92,433.88,430.17,433.8,430.68,76104300,76104300,2.88,0.66834,432.62,"June 12, 23",0.0066834
75,2023-06-09,429.96,431.99,428.87,429.9,426.8,85742800,85742800,-0.06,-0.01395479,430.25,"June 09, 23",-0.0001395479
76,2023-06-08,426.62,429.6,425.82,429.13,426.04,61952800,61952800,2.51,0.58835,428.18,"June 08, 23",0.0058835
77,2023-06-07,428.44,429.62,426.11,426.55,423.48,85373300,85373300,-1.89,-0.44114,427.43,"June 07, 23",-0.0044114
78,2023-06-06,426.67,428.58,425.99,428.03,424.95,64022200,64022200,1.36,0.31875,427.53,"June 06, 23",0.0031875
79,2023-06-05,428.28,429.62,426.37,427.1,424.02,65460200,65460200,-1.18,-0.27552,427.7,"June 05, 23",-0.0027552
80,2023-06-02,424.5,428.74,423.95,427.92,424.84,91366700,91366700,3.42,0.80565,426.87,"June 02, 23",0.0080565
81,2023-06-01,418.09,422.92,416.79,421.82,418.78,88865000,88865000,3.73,0.89215,420.51,"June 01, 23",0.0089215
82,2023-05-31,418.28,419.22,416.22,417.85,414.84,110811800,110811800,-0.43,-0.1028,417.76,"May 31, 23",-0.001028
83,2023-05-30,422.03,422.58,418.74,420.18,417.15,72216000,72216000,-1.85,-0.43836,420.5,"May 30, 23",-0.0043836
84,2023-05-26,415.33,420.77,415.25,420.02,416.99,93830000,93830000,4.69,1.13,418.68,"May 26, 23",0.0113
85,2023-05-25,414.74,416.16,412.41,414.65,411.66,90961600,90961600,-0.09,-0.02170034,414.41,"May 25, 23",-0.0002170034
86,2023-05-24,412.42,412.82,409.88,411.09,408.13,89213700,89213700,-1.33,-0.32249,411.26,"May 24, 23",-0.0032249
87,2023-05-23,417.08,418.72,413.68,414.09,411.11,86383500,86383500,-2.99,-0.71689,415.5,"May 23, 23",-0.0071689
88,2023-05-22,418.64,420.39,417.35,418.79,415.77,60745400,60745400,0.15,0.03583031,418.84,"May 22, 23",0.0003583031
89,2023-05-19,420.17,420.72,417.35,418.62,415.6,103679700,103679700,-1.55,-0.3689,418.9,"May 19, 23",-0.003689
90,2023-05-18,414.9,419.67,414.67,419.23,416.21,97177200,97177200,4.33,1.04,417.86,"May 18, 23",0.0104
91,2023-05-17,412.35,415.86,410.64,415.23,412.24,87287000,87287000,2.88,0.69844,413.91,"May 17, 23",0.0069844
92,2023-05-16,411.86,412.82,410.24,410.25,407.3,57705500,57705500,-1.61,-0.39091,411.1,"May 16, 23",-0.0039091
93,2023-05-15,412.22,413.43,410.23,413.01,410.04,54289400,54289400,0.79,0.19165,412.22,"May 15, 23",0.0019165
94,2023-05-12,413.42,413.64,409.07,411.59,408.63,70439400,70439400,-1.83,-0.44265,411.43,"May 12, 23",-0.0044265
95,2023-05-11,411.95,412.43,409.97,412.13,409.16,70157100,70157100,0.18,0.04369462,411.51,"May 11, 23",0.0004369462
96,2023-05-10,413.88,414.54,408.87,412.85,409.88,96142900,96142900,-1.03,-0.24886,412.09,"May 10, 23",-0.0024886
97,2023-05-09,411.13,412.09,410.69,410.93,407.97,49220100,49220100,-0.2,-0.04864641,411.24,"May 09, 23",-0.0004864641
98,2023-05-08,412.97,413.24,411.28,412.74,409.77,50046800,50046800,-0.23,-0.05569412,412.42,"May 08, 23",-0.0005569412
99,2023-05-05,408.91,413.72,408.64,412.63,409.66,87844000,87844000,3.72,0.90974,411.66,"May 05, 23",0.0090974
100,2023-05-04,406.93,407.27,403.74,405.13,402.21,94901900,94901900,-1.8,-0.44234,405.38,"May 04, 23",-0.0044234
101,2023-05-03,411.36,413.87,407.77,408.02,405.08,91531800,91531800,-3.34,-0.81194,409.89,"May 03, 23",-0.0081194
102,2023-05-02,414.77,414.82,407.82,410.84,407.88,103998500,103998500,-3.93,-0.94751,411.16,"May 02, 23",-0.0094751
103,2023-05-01,415.47,417.62,415.27,415.51,412.52,62122300,62122300,0.04,0.00962765,416.13,"May 01, 23",9.62765e-05
104,2023-04-28,411.49,415.94,411.43,415.93,412.93,89335600,89335600,4.44,1.08,414.43,"April 28, 23",0.0108
105,2023-04-27,407.0,412.69,406.74,412.41,409.44,92968400,92968400,5.41,1.33,410.61,"April 27, 23",0.0133
106,2023-04-26,406.72,407.84,403.78,404.36,401.45,80447000,80447000,-2.36,-0.58025,405.33,"April 26, 23",-0.0058025
107,2023-04-25,410.58,411.16,406.02,406.08,403.16,97766700,97766700,-4.5,-1.1,407.75,"April 25, 23",-0.011
108,2023-04-24,411.99,413.07,410.6,412.63,409.66,64332100,64332100,0.64,0.15534,412.1,"April 24, 23",0.0015534
109,2023-04-21,412.19,412.68,410.17,412.2,409.23,73457400,73457400,0.01,0.00242607,411.68,"April 21, 23",2.42607e-05
110,2023-04-20,411.21,413.7,410.27,411.88,408.91,75840400,75840400,0.67,0.16293,411.95,"April 20, 23",0.0016293
111,2023-04-19,412.22,415.08,412.16,414.14,411.16,55227300,55227300,1.92,0.46577,413.79,"April 19, 23",0.0046577
112,2023-04-18,415.58,415.72,412.78,414.21,411.23,63560000,63560000,-1.37,-0.32966,414.24,"April 18, 23",-0.0032966
113,2023-04-17,412.37,413.96,411.09,413.94,410.96,66436400,66436400,1.57,0.38073,413.0,"April 17, 23",0.0038073
114,2023-04-14,412.81,415.09,410.06,412.46,409.49,78161500,78161500,-0.35,-0.08478477,412.54,"April 14, 23",-0.0008478477
115,2023-04-13,409.18,413.84,407.99,413.47,410.49,85814800,85814800,4.29,1.05,411.77,"April 13, 23",0.0105
116,2023-04-12,411.87,412.17,407.44,408.05,405.11,86420400,86420400,-3.82,-0.92748,409.22,"April 12, 23",-0.0092748
117,2023-04-11,410.26,411.18,408.92,409.72,406.77,59297900,59297900,-0.54,-0.13162,409.94,"April 11, 23",-0.0013162
118,2023-04-10,406.61,409.69,405.97,409.61,406.66,63681000,63681000,3.0,0.73781,408.42,"April 10, 23",0.0073781
119,2023-04-06,406.77,409.48,405.68,409.19,406.24,63743300,63743300,2.42,0.59493,408.12,"April 06, 23",0.0059493
120,2023-04-05,407.91,408.7,405.88,407.6,404.66,65200200,65200200,-0.31,-0.07599716,407.39,"April 05, 23",-0.0007599716
121,2023-04-04,411.62,411.92,407.24,408.67,405.73,66601500,66601500,-2.95,-0.71668,409.28,"April 04, 23",-0.0071668
122,2023-04-03,408.85,411.37,408.44,410.95,407.99,67391100,67391100,2.1,0.51364,410.25,"April 03, 23",0.0051364
123,2023-03-31,404.66,409.7,404.55,409.39,406.44,112062600,112062600,4.73,1.17,407.88,"March 31, 23",0.0117
124,2023-03-30,404.09,404.35,401.76,403.7,400.79,69840000,69840000,-0.39,-0.09651315,403.27,"March 30, 23",-0.0009651315
125,2023-03-29,399.93,401.6,398.68,401.35,398.46,77497900,77497900,1.42,0.35506,400.54,"March 29, 23",0.0035506
126,2023-03-28,395.77,396.49,393.69,395.6,392.75,62871700,62871700,-0.17,-0.04295424,395.26,"March 28, 23",-0.0004295424
127,2023-03-27,398.12,398.92,395.56,396.49,393.63,74010400,74010400,-1.63,-0.40942,396.99,"March 27, 23",-0.0040942
128,2023-03-24,391.84,395.84,389.4,395.75,392.9,107682400,107682400,3.91,0.99786,393.66,"March 24, 23",0.0099786
129,2023-03-23,395.09,399.29,390.35,393.17,390.34,119351300,119351300,-1.92,-0.48597,394.27,"March 23, 23",-0.0048597
130,2023-03-22,398.73,402.49,392.07,392.11,389.29,111746600,111746600,-6.62,-1.66,395.56,"March 22, 23",-0.0166
131,2023-03-21,397.24,399.41,395.58,398.91,396.04,91524200,91524200,1.67,0.4204,397.97,"March 21, 23",0.004204
132,2023-03-20,390.8,394.17,390.07,393.74,390.9,93055800,93055800,2.94,0.7523,392.66,"March 20, 23",0.007523
133,2023-03-17,393.22,394.4,388.55,389.99,387.18,140553400,140553400,-3.23,-0.82142,390.98,"March 17, 23",-0.0082142
134,2023-03-16,386.82,396.47,386.29,396.11,391.76,143254200,143254200,9.29,2.4,392.96,"March 16, 23",0.024
135,2023-03-15,385.89,389.49,383.71,389.28,385.01,172996900,172996900,3.39,0.87849,387.49,"March 15, 23",0.0087849
136,2023-03-14,390.5,393.45,387.05,391.73,387.43,149752400,149752400,1.23,0.31498,390.74,"March 14, 23",0.0031498
137,2023-03-13,381.81,390.39,380.65,385.36,381.13,157790000,157790000,3.55,0.92978,385.47,"March 13, 23",0.0092978
138,2023-03-10,390.99,393.16,384.32,385.91,381.67,189253000,189253000,-5.08,-1.3,387.8,"March 10, 23",-0.013
139,2023-03-09,399.74,401.48,390.53,391.56,387.26,111945300,111945300,-8.18,-2.05,394.52,"March 09, 23",-0.0205
140,2023-03-08,398.39,399.71,396.59,398.92,394.54,74746600,74746600,0.53,0.13304,398.41,"March 08, 23",0.0013304
141,2023-03-07,404.42,404.67,397.63,398.27,393.9,108310600,108310600,-6.15,-1.52,400.19,"March 07, 23",-0.0152
142,2023-03-06,405.05,407.45,404.01,404.47,400.03,72795900,72795900,-0.58,-0.14319,405.31,"March 06, 23",-0.0014319
143,2023-03-03,399.71,404.45,399.03,404.19,399.75,90120000,90120000,4.48,1.12,402.56,"March 03, 23",0.0112
144,2023-03-02,392.68,398.69,392.33,397.81,393.44,85127800,85127800,5.13,1.31,396.28,"March 02, 23",0.0131
145,2023-03-01,395.41,396.69,393.38,394.74,390.41,99706800,99706800,-0.67,-0.16944,394.94,"March 01, 23",-0.0016944
146,2023-02-28,397.23,399.28,396.15,396.26,391.91,96438600,96438600,-0.97,-0.24419,397.23,"February 28, 23",-0.0024419
147,2023-02-27,399.87,401.29,396.75,397.73,393.36,80444700,80444700,-2.14,-0.53517,398.59,"February 27, 23",-0.0053517
148,2023-02-24,395.42,397.25,393.64,396.38,392.03,108194400,108194400,0.96,0.24278,395.76,"February 24, 23",0.0024278
149,2023-02-23,401.56,402.2,396.25,400.66,396.26,96242400,96242400,-0.9,-0.22413,399.7,"February 23, 23",-0.0022413
150,2023-02-22,399.52,401.13,397.02,398.54,394.17,83742300,83742300,-0.98,-0.24529,398.9,"February 22, 23",-0.0024529
151,2023-02-21,403.06,404.16,398.82,399.09,394.71,82655900,82655900,-3.97,-0.98497,400.69,"February 21, 23",-0.0098497
152,2023-02-17,406.06,407.51,404.05,407.26,402.79,89257800,89257800,1.2,0.29552,406.27,"February 17, 23",0.0029552
153,2023-02-16,408.79,412.91,408.14,408.28,403.8,76431500,76431500,-0.51,-0.12476,409.78,"February 16, 23",-0.0012476
154,2023-02-15,410.35,414.06,409.47,413.98,409.44,61555700,61555700,3.63,0.88461,412.5,"February 15, 23",0.0088461
155,2023-02-14,411.24,415.05,408.51,412.64,408.11,88389300,88389300,1.4,0.34043,412.07,"February 14, 23",0.0034043
156,2023-02-13,408.72,412.97,408.24,412.83,408.3,64913500,64913500,4.11,1.01,411.35,"February 13, 23",0.0101
157,2023-02-10,405.86,408.44,405.01,408.04,403.56,70769700,70769700,2.18,0.53713,407.16,"February 10, 23",0.0053713
158,2023-02-09,414.41,414.57,405.81,407.09,402.62,78694900,78694900,-7.32,-1.77,409.16,"February 09, 23",-0.0177
159,2023-02-08,413.13,414.53,409.93,410.65,406.14,76227500,76227500,-2.48,-0.6003,411.7,"February 08, 23",-0.006003
160,2023-02-07,408.87,416.49,407.57,415.19,410.63,90990700,90990700,6.32,1.55,413.08,"February 07, 23",0.0155
161,2023-02-06,409.79,411.29,408.1,409.83,405.33,60295300,60295300,0.04,0.0097611,409.74,"February 06, 23",9.7611e-05
162,2023-02-03,411.59,416.97,411.09,412.35,407.82,94736800,94736800,0.76,0.18465,413.47,"February 03, 23",0.0018465
163,2023-02-02,414.86,418.31,412.88,416.78,412.2,101654500,101654500,1.92,0.46281,415.99,"February 02, 23",0.0046281
164,2023-02-01,405.21,413.67,402.35,410.8,406.29,101459200,101459200,5.59,1.38,408.94,"February 01, 23",0.0138
165,2023-01-31,401.13,406.53,400.77,406.48,402.02,86811800,86811800,5.35,1.33,404.59,"January 31, 23",0.0133
166,2023-01-30,402.8,405.13,400.28,400.59,396.19,74202000,74202000,-2.21,-0.54866,402.0,"January 30, 23",-0.0054866
167,2023-01-27,403.66,408.16,403.44,405.68,401.23,68346200,68346200,2.02,0.50042,405.76,"January 27, 23",0.0050042
168,2023-01-26,403.13,404.92,400.03,404.75,400.31,72287400,72287400,1.62,0.40186,403.23,"January 26, 23",0.0040186
169,2023-01-25,395.95,400.7,393.56,400.35,395.96,84800300,84800300,4.4,1.11,398.2,"January 25, 23",0.0111
170,2023-01-24,398.88,401.15,397.64,400.2,395.81,59524900,59524900,1.32,0.33093,399.66,"January 24, 23",0.0033093
171,2023-01-23,396.72,402.65,395.72,400.63,396.23,84178800,84178800,3.91,0.98558,399.67,"January 23, 23",0.0098558
172,2023-01-20,390.1,396.04,388.38,395.88,391.53,91806400,91806400,5.78,1.48,393.43,"January 20, 23",0.0148
173,2023-01-19,389.36,391.08,387.26,388.64,384.37,86958900,86958900,-0.72,-0.18492,388.99,"January 19, 23",-0.0018492
174,2023-01-18,399.01,400.12,391.28,391.49,387.19,99632300,99632300,-7.52,-1.88,394.3,"January 18, 23",-0.0188
175,2023-01-17,398.48,400.23,397.06,397.77,393.4,62677300,62677300,-0.71,-0.17818,398.35,"January 17, 23",-0.0017818
176,2023-01-13,393.62,399.1,393.34,398.5,394.13,63903900,63903900,4.88,1.24,396.98,"January 13, 23",0.0124
177,2023-01-12,396.67,398.49,392.42,396.96,392.6,90157700,90157700,0.29,0.07310863,395.96,"January 12, 23",0.0007310863
178,2023-01-11,392.23,395.6,391.38,395.52,391.18,68881100,68881100,3.29,0.83879,394.17,"January 11, 23",0.0083879
179,2023-01-10,387.25,390.65,386.27,390.58,386.29,65358100,65358100,3.33,0.85991,389.17,"January 10, 23",0.0085991
180,2023-01-09,390.37,393.7,387.67,387.86,383.6,73978100,73978100,-2.51,-0.64298,389.74,"January 09, 23",-0.0064298
181,2023-01-06,382.61,389.25,379.41,388.08,383.82,104189600,104189600,5.47,1.43,385.58,"January 06, 23",0.0143
182,2023-01-05,381.72,381.84,378.76,379.38,375.22,76970500,76970500,-2.34,-0.61301,379.99,"January 05, 23",-0.0061301
183,2023-01-04,383.18,385.88,380.0,383.76,379.55,85934100,85934100,0.58,0.15136,383.21,"January 04, 23",0.0015136
184,2023-01-03,384.37,386.43,377.83,380.82,376.64,74850700,74850700,-3.55,-0.92359,381.69,"January 03, 23",-0.0092359
185,2022-12-30,380.64,382.58,378.43,382.43,378.23,84022200,84022200,1.79,0.47026,381.15,"December 30, 22",0.0047026
186,2022-12-29,379.63,384.35,379.08,383.44,379.23,66970900,66970900,3.81,1.0,382.29,"December 29, 22",0.01
187,2022-12-28,381.33,383.39,376.42,376.66,372.53,70911500,70911500,-4.67,-1.22,378.82,"December 28, 22",-0.0122
188,2022-12-27,382.79,383.15,379.65,381.4,377.21,51638200,51638200,-1.39,-0.36312,381.4,"December 27, 22",-0.0036312
189,2022-12-23,379.65,383.06,378.03,382.91,378.71,59857300,59857300,3.26,0.85869,381.33,"December 23, 22",0.0085869
190,2022-12-22,383.05,386.21,374.77,380.72,376.54,100120900,100120900,-2.33,-0.60828,380.57,"December 22, 22",-0.0060828
191,2022-12-21,383.25,387.41,382.69,386.23,381.99,78167400,78167400,2.98,0.77756,385.44,"December 21, 22",0.0077756
192,2022-12-20,379.23,382.23,377.85,380.54,376.36,74427200,74427200,1.31,0.34544,380.21,"December 20, 22",0.0034544
193,2022-12-19,383.47,383.82,378.28,380.02,375.85,79878100,79878100,-3.45,-0.89968,380.71,"December 19, 22",-0.0089968
194,2022-12-16,385.18,386.58,381.04,383.27,379.06,119858000,119858000,-1.91,-0.49587,383.63,"December 16, 22",-0.0049587
195,2022-12-15,394.3,395.25,387.89,389.63,383.59,117705900,117705900,-4.67,-1.18,390.92,"December 15, 22",-0.0118
196,2022-12-14,401.61,405.5,396.31,399.4,393.21,108111300,108111300,-2.21,-0.55029,400.4,"December 14, 22",-0.0055029
197,2022-12-13,410.22,410.49,399.07,401.97,395.74,123782500,123782500,-8.25,-2.01,403.84,"December 13, 22",-0.0201
198,2022-12-12,394.11,398.95,393.41,398.95,392.77,75405800,75405800,4.84,1.23,397.1,"December 12, 22",0.0123
199,2022-12-09,394.94,397.62,393.15,393.28,387.18,81447700,81447700,-1.66,-0.42032,394.68,"December 09, 22",-0.0042032
200,2022-12-08,395.14,397.36,393.27,396.24,390.1,60737900,60737900,1.1,0.27838,395.62,"December 08, 22",0.0027838
201,2022-12-07,392.94,395.64,391.97,393.16,387.07,65927900,65927900,0.22,0.05598819,393.59,"December 07, 22",0.0005598819
202,2022-12-06,399.42,399.99,391.64,393.83,387.73,77972200,77972200,-5.59,-1.4,395.15,"December 06, 22",-0.014
203,2022-12-05,403.95,404.93,398.17,399.59,393.4,77289800,77289800,-4.36,-1.08,400.9,"December 05, 22",-0.0108
204,2022-12-02,402.25,407.86,402.14,406.91,400.6,85342700,85342700,4.66,1.16,405.64,"December 02, 22",0.0116
205,2022-12-01,408.77,410.0,404.75,407.38,401.07,76398200,76398200,-1.39,-0.34004,407.38,"December 01, 22",-0.0034004
206,2022-11-30,395.49,407.68,393.48,407.68,401.36,144566700,144566700,12.19,3.08,402.95,"November 30, 22",0.0308
207,2022-11-29,396.05,397.3,393.3,395.23,389.1,52310000,52310000,-0.82,-0.20704,395.28,"November 29, 22",-0.0020704
208,2022-11-28,399.09,400.81,395.11,395.91,389.77,67881600,67881600,-3.18,-0.79681,397.28,"November 28, 22",-0.0079681
209,2022-11-25,401.83,402.91,401.54,402.33,396.09,30545400,30545400,0.5,0.12443,402.26,"November 25, 22",0.0012443
210,2022-11-23,399.55,402.93,399.31,402.42,396.18,68261600,68261600,2.87,0.71831,401.55,"November 23, 22",0.0071831
211,2022-11-22,396.63,400.07,395.15,399.9,393.7,60429000,60429000,3.27,0.82445,398.37,"November 22, 22",0.0082445
212,2022-11-21,394.64,395.82,392.66,394.59,388.47,51243200,51243200,-0.05,-0.01266977,394.36,"November 21, 22",-0.0001266977
